Analizador lexico:
LexToken(CLASS,'class',157,0)
LexToken(LOCAL_VAR,'do',192,983)
LexToken(LOCAL_VAR,'task',192,987)
LexToken(COMMA,',',192,991)
LexToken(LOCAL_VAR,'index',192,993)
LexToken(LOCAL_VAR,'status',193,1008)
LexToken(ASSIGN,'=',193,1015)
LexToken(LOCAL_VAR,'task',193,1017)
LexToken(L_ULTRA_PAREN,'[',193,1021)
LexToken(TWO_POINTS,':',193,1022)
LexToken(LOCAL_VAR,'completed',193,1023)
LexToken(R_ULTRA_PAREN,']',193,1032)
LexToken(STRING,'Completada',193,1036)
LexToken(TWO_POINTS,':',193,1049)
LexToken(STRING,'Pendiente',193,1051)
LexToken(PUTS,'puts',194,1071)
LexToken(STRING,'#{index + 1}. #{task[:description]} - #{status}',194,1076)
LexToken(END,'end',195,1132)
LexToken(END,'end',196,1140)
LexToken(END,'end',197,1146)
LexToken(LOCAL_VAR,'todo_list',200,1196)
LexToken(ASSIGN,'=',200,1206)
LexToken(CONSTANT,'TodoList',200,1208)
LexToken(DOT,'.',200,1216)
LexToken(LOCAL_VAR,'new',200,1217)
LexToken(LOCAL_VAR,'todo_list',201,1223)
LexToken(DOT,'.',201,1232)
LexToken(LOCAL_VAR,'add_task',201,1233)
LexToken(L_PAREN,'(',201,1241)
LexToken(STRING,'Comprar leche',201,1242)
LexToken(R_PAREN,')',201,1257)
LexToken(LOCAL_VAR,'todo_list',202,1261)
LexToken(DOT,'.',202,1270)
LexToken(LOCAL_VAR,'add_task',202,1271)
LexToken(L_PAREN,'(',202,1279)
LexToken(STRING,'Hacer ejercicio',202,1280)
LexToken(R_PAREN,')',202,1297)
LexToken(LOCAL_VAR,'todo_list',203,1301)
LexToken(DOT,'.',203,1310)
LexToken(LOCAL_VAR,'add_task',203,1311)
LexToken(L_PAREN,'(',203,1319)
LexToken(STRING,'Estudiar Ruby',203,1320)
LexToken(R_PAREN,')',203,1335)
LexToken(LOCAL_VAR,'todo_list',205,1342)
LexToken(DOT,'.',205,1351)
LexToken(LOCAL_VAR,'show_tasks',205,1352)
LexToken(LOCAL_VAR,'todo_list',207,1368)
LexToken(DOT,'.',207,1377)
LexToken(LOCAL_VAR,'complete_task',207,1378)
LexToken(L_PAREN,'(',207,1391)
LexToken(INTEGER,1,207,1392)
LexToken(R_PAREN,')',207,1393)
LexToken(LOCAL_VAR,'todo_list',208,1397)
LexToken(DOT,'.',208,1406)
LexToken(LOCAL_VAR,'show_tasks',208,1407)
LexToken(LOCAL_VAR,'todo_list',210,1423)
LexToken(DOT,'.',210,1432)
LexToken(LOCAL_VAR,'delete_task',210,1433)
LexToken(L_PAREN,'(',210,1444)
LexToken(INTEGER,0,210,1445)
LexToken(R_PAREN,')',210,1446)
LexToken(LOCAL_VAR,'todo_list',211,1450)
LexToken(DOT,'.',211,1459)
LexToken(LOCAL_VAR,'show_tasks',211,1460)

Errores:
Illegal character ('|',171,20)
Illegal character ('|',171,21)
Illegal character ('|',181,20)
Illegal character ('|',181,21)
Illegal character ('|',192,33)
Illegal character ('|',192,45)
Illegal character ('?',193,35)
